
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BC:30:D9:12:19:A0, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -68,        1,        0,   0.  0.  0.  0,  12, MiFibra-199E, 
62:30:D9:12:19:A1, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -53,        2,        0,   0.  0.  0.  0,  13, Invitado-199E, 
D8:FB:5E:91:22:A8, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -59,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_22A7, 
AC:3B:77:92:DF:A6, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -62,        1,        0,   0.  0.  0.  0,   6, ONO55P, 
E8:D1:1B:EF:E4:C6, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -60,        1,        0,   0.  0.  0.  0,  13, MOVISTAR_E4C5, 
50:F1:4A:E5:4A:B4, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,   0, , 
B8:05:AB:F5:6A:8C, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,   0, , 
B0:EA:BC:BC:8F:BC, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,  13, MOVISTAR_8FBB, 
9C:80:DF:59:36:73, 2019-03-25 12:57:20, 2019-03-25 12:57:20,  6,  54, WPA2, CCMP,PSK, -59,        3,        0,   0.  0.  0.  0,  11, Orange-3671, 
80:29:94:A3:01:22, 2019-03-25 12:57:20, 2019-03-25 12:57:20,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -72,        1,        0,   0.  0.  0.  0,  12, JiaoWoGengGe, 
B2:46:FC:7D:1E:A0, 2019-03-25 12:57:20, 2019-03-25 12:57:20,  6,  54, WPA2, CCMP,PSK, -63,        2,        0,   0.  0.  0.  0,   7, CHISCON, 
B2:46:FC:6F:B4:F8, 2019-03-25 12:57:20, 2019-03-25 12:57:20,  6,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,  13, MOVISTAR_B4F8, 
48:8D:36:D0:8F:04, 2019-03-25 12:57:21, 2019-03-25 12:57:21,  1,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  12, MiFibra-8F02, 
0C:54:A5:C7:4E:C3, 2019-03-25 12:57:21, 2019-03-25 12:57:21,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -58,        1,        0,   0.  0.  0.  0,   9, ONO001187, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7C:E9:D3:3E:EA:DF, 2019-03-25 12:57:17, 2019-03-25 12:57:17, -64,        2, 90:5C:44:54:A3:A8,
F8:3D:FF:75:D4:EF, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  -1,        2, 00:4A:77:E4:19:5F,
54:33:CB:1F:82:9B, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  -1,       38, F8:01:13:31:9A:04,
48:2C:A0:61:F5:58, 2019-03-25 12:57:19, 2019-03-25 12:57:22, -30,        2, EC:08:6B:59:5B:78,
00:21:00:82:E7:1C, 2019-03-25 12:57:21, 2019-03-25 12:57:21, -62,        1, (not associated) ,
DA:A1:19:2B:0E:3D, 2019-03-25 12:57:21, 2019-03-25 12:57:21, -74,        1, (not associated) ,

